,Clone,Plate,SampleWeek,Vernalized,NHatch,TotalEmb,prophatch
1,AxB,5_8_19,4,0,0,37,0
2,AxB,5_13_19,5,0,2,57,0.035087719
3,AxB,5_14_19,5,0,4,133,0.030075188
4,AxB,5_15_19A,5,0,3,46,0.065217391
5,AxB,5_16_19,5,0,2,18,0.111111111
6,AxB,5_16_19A,5,0,0,50,0
7,AxB,5_16_19B,5,0,0,11,0
8,AxB,5_22_19,6,0,8,23,0.347826087
9,AxB,5_22_19A,6,0,40,95,0.421052632
10,AxB,5_23_19,6,0,5,37,0.135135135
11,AxB,5_29_19A,7,0,48,107,0.448598131
12,AxB,5_29_19B,7,0,31,93,0.333333333
13,AxB,5_29_19C,7,0,10,33,0.303030303
14,AxB,6_6_19,8,0,15,45,0.333333333
15,AxB,6_7_19F,8,0,2,3,0.666666667
16,AxB,6_7_19G,8,0,36,96,0.375
17,AxB,6_7_19H,8,0,0,123,0
18,D8179,5_15_19A,5,0,0,3,0
19,D8179,5_16_19,5,0,0,2,0
20,D8179,5_22_19,6,0,0,3,0
21,D8179,5_22_19C,6,0,5,10,0.5
22,D8179,5_22_19D,6,0,2,NA,NA
23,D8179,5_22_19D_A,6,0,0,4,0
24,D8179,5_23_19,6,0,1,2,0.5
25,D8179,5_29_19C,7,0,1,1,1
26,D8179,6_7_19B,8,0,0,8,0
27,D8222,5_8_19,4,0,0,6,0
28,D8222,5_13_19,5,0,1,18,0.055555556
29,D8222,5_14_19,5,0,3,14,0.214285714
30,D8222,5_15_19A,5,0,0,5,0
31,D8222,5_16_19,5,0,6,34,0.176470588
32,D8222,5_16_19A,5,0,0,5,0
33,D8222,5_16_19B,5,0,1,25,0.04
34,D8222,5_22_19,6,0,6,23,0.260869565
35,D8222,5_22_19B,6,0,1,34,0.029411765
36,D8222,5_22_19C,6,0,2,23,0.086956522
37,D8222,5_22_19D_B,6,0,7,12,0.583333333
38,D8222,5_23_19,6,0,5,15,0.333333333
39,D8222,5_29_19C,7,0,5,34,0.147058824
40,D8222,5_29_19D,7,0,25,124,0.201612903
41,D8222,5_29_19E,7,0,21,89,0.235955056
42,D8222,5_29_19F,7,0,20,73,0.273972603
43,D8222,5_29_19G,7,0,20,102,0.196078431
44,D8222,5_29_19H,7,0,8,33,0.242424242
45,D8222,5_29_19J,7,0,1,11,0.090909091
46,D8222,5_29_19K,7,0,2,4,0.5
47,D8222,5_31_19A,7,0,35,89,0.393258427
48,D8222,6_7_19,8,0,1,1,1
49,D8222,6_7_19A,8,0,19,66,0.287878788
50,D8222,6_7_19B,8,0,4,8,0.5
51,D8222,6_7_19C,8,0,30,86,0.348837209
52,D8222,6_7_19D,8,0,43,124,0.346774194
53,D8222,6_7_19E,8,0,11,27,0.407407407
54,D8349,5_16_19,5,0,0,2,0
55,D8349,5_22_19,6,0,1,1,1
56,D8349,6_7_19_D,8,0,1,1,1
57,D8515,5_8_19,4,0,3,121,0.024793388
58,D8515,5_13_19,5,0,3,63,0.047619048
59,D8515,5_14_19,5,0,7,34,0.205882353
60,D8515,5_15_19A,5,0,6,9,0.666666667
61,D8515,5_15_19B,5,0,1,30,0.033333333
62,D8515,5_16_19,5,0,11,21,0.523809524
63,D8515,5_16_19A,5,0,2,23,0.086956522
64,D8515,5_16_19B,5,0,10,21,0.476190476
65,D8515,5_22_19,6,0,5,39,0.128205128
66,D8515,5_22_19D_B,6,0,1,10,0.1
67,D8515,5_22_19E,6,0,6,72,0.083333333
68,D8515,5_23_19,6,0,1,1,1
69,D8515,5_23_19,6,0,3,38,0.078947368
70,D8515,5_29_19F,7,0,0,NA,NA
71,D8515,5_29_19H,7,0,0,26,0
72,D8515,5_29_19I,7,0,18,69,0.260869565
73,D8515,5_29_19J,7,0,5,26,0.192307692
74,D8515,5_29_19K,7,0,24,70,0.342857143
75,D8515,5_29_19K ,7,0,1,NA,NA
76,D8515,5_31_19A,7,0,5,7,0.714285714
77,D8515,5_31_19B,7,0,11,13,0.846153846
78,D8515,6_7_19B,8,0,4,22,0.181818182
79,D8515,6_7_19E,8,0,5,99,0.050505051
80,D8515,6_7_19F,8,0,4,38,0.105263158
81,AxB,5_8_19,4,1,16,37,0.432432432
82,AxB,5_13_19,5,1,36,57,0.631578947
83,AxB,5_14_19,5,1,78,133,0.586466165
84,AxB,5_15_19A,5,1,31,46,0.673913043
85,AxB,5_16_19,5,1,12,18,0.666666667
86,AxB,5_16_19A,5,1,37,50,0.74
87,AxB,5_16_19B,5,1,7,11,0.636363636
88,AxB,5_22_19,6,1,10,23,0.434782609
89,AxB,5_22_19A,6,1,28,95,0.294736842
90,AxB,5_23_19,6,1,15,37,0.405405405
91,AxB,5_29_19A,7,1,35,107,0.327102804
92,AxB,5_29_19B,7,1,23,93,0.247311828
93,AxB,5_29_19C,7,1,8,33,0.242424242
94,AxB,6_6_19,8,1,13,45,0.288888889
95,AxB,6_7_19F,8,1,0,3,0
96,AxB,6_7_19G,8,1,14,96,0.145833333
97,AxB,6_7_19H,8,1,65,123,0.528455285
98,D8179,5_15_19A,5,1,3,3,1
99,D8179,5_16_19,5,1,2,2,1
100,D8179,5_22_19,6,1,2,3,0.666666667
101,D8179,5_22_19C,6,1,3,10,0.3
102,D8179,5_22_19D,6,1,0,NA,NA
103,D8179,5_22_19D_A,6,1,2,4,0.5
104,D8179,5_23_19,6,1,1,2,0.5
105,D8179,5_29_19C,7,1,0,1,0
106,D8179,6_7_19B,8,1,2,8,0.25
107,D8222,5_8_19,4,1,2,6,0.333333333
108,D8222,5_13_19,5,1,6,18,0.333333333
109,D8222,5_14_19,5,1,6,14,0.428571429
110,D8222,5_15_19A,5,1,3,5,0.6
111,D8222,5_16_19,5,1,22,34,0.647058824
112,D8222,5_16_19A,5,1,3,5,0.6
113,D8222,5_16_19B,5,1,16,25,0.64
114,D8222,5_22_19,6,1,9,23,0.391304348
115,D8222,5_22_19B,6,1,20,34,0.588235294
116,D8222,5_22_19C,6,1,14,23,0.608695652
117,D8222,5_22_19D_B,6,1,2,12,0.166666667
118,D8222,5_23_19,6,1,10,15,0.666666667
119,D8222,5_29_19C,7,1,9,34,0.264705882
120,D8222,5_29_19D,7,1,55,124,0.443548387
121,D8222,5_29_19E,7,1,22,89,0.247191011
122,D8222,5_29_19F,7,1,15,73,0.205479452
123,D8222,5_29_19G,7,1,21,102,0.205882353
124,D8222,5_29_19H,7,1,13,33,0.393939394
125,D8222,5_29_19J,7,1,6,11,0.545454545
126,D8222,5_29_19K,7,1,1,4,0.25
127,D8222,5_31_19A,7,1,8,89,0.08988764
128,D8222,6_7_19,8,1,0,1,0
129,D8222,6_7_19A,8,1,15,66,0.227272727
130,D8222,6_7_19B,8,1,0,8,0
131,D8222,6_7_19C,8,1,31,86,0.360465116
132,D8222,6_7_19D,8,1,14,124,0.112903226
133,D8222,6_7_19E,8,1,3,27,0.111111111
134,D8349,5_16_19,5,1,1,2,0.5
135,D8349,5_22_19,6,1,0,1,0
136,D8349,6_7_19_D,8,1,0,1,0
137,D8515,5_8_19,4,1,77,121,0.636363636
138,D8515,5_13_19,5,1,41,63,0.650793651
139,D8515,5_14_19,5,1,18,34,0.529411765
140,D8515,5_15_19A,5,1,6,9,0.666666667
141,D8515,5_15_19B,5,1,9,30,0.3
142,D8515,5_16_19,5,1,11,21,0.523809524
143,D8515,5_16_19A,5,1,14,23,0.608695652
144,D8515,5_16_19B,5,1,10,21,0.476190476
145,D8515,5_22_19,6,1,21,39,0.538461538
146,D8515,5_22_19D_B,6,1,6,10,0.6
147,D8515,5_22_19E,6,1,49,72,0.680555556
148,D8515,5_23_19,6,1,0,1,0
149,D8515,5_23_19,6,1,24,38,0.631578947
150,D8515,5_29_19F,7,1,1,NA,NA
151,D8515,5_29_19H,7,1,6,26,0.230769231
152,D8515,5_29_19I,7,1,18,69,0.260869565
153,D8515,5_29_19J,7,1,11,26,0.423076923
154,D8515,5_29_19K,7,1,22,70,0.314285714
155,D8515,5_29_19K ,7,1,1,NA,NA
156,D8515,5_31_19A,7,1,0,7,0
157,D8515,5_31_19B,7,1,11,13,0.846153846
158,D8515,6_7_19B,8,1,5,22,0.227272727
159,D8515,6_7_19E,8,1,42,99,0.424242424
160,D8515,6_7_19F,8,1,6,38,0.157894737
161,D8179,5_16_19B,NA,NA,0,0,NA
162,D8179,5_22_19D_B,NA,NA,0,3,0
163,D8179,5_22_19E,NA,NA,0,0,NA
164,D8179,5_29_19J,NA,NA,0,1,0
165,D8179,5_8_19,NA,NA,0,0,NA
166,D8349,5_15_19A,NA,NA,0,1,0
167,D8349,5_16_19A,NA,NA,0,0,NA
168,D8349,5_16_19B,NA,NA,0,0,NA
169,D8349,5_22_19A,NA,NA,0,0,NA
170,D8349,5_22_19B,NA,NA,0,0,NA
171,D8349,5_22_19D_B,NA,NA,0,0,NA
172,D8349,5_29_19C,NA,NA,0,1,0
173,D8349,5_29_19J,NA,NA,0,0,NA
174,D8349,5_8_19,NA,NA,0,1,0
175,D8349,6_7_19B,NA,NA,0,2,0
176,D8515,5_22_19D_A,NA,NA,0,3,0